b'RT @MichelleObama: Sometimes truth transcends party. https://t.co/TeFM7NmNzU'
b'Congratulations to the @Capitals! This @NHLBlackhawks fan knows what it\xe2\x80\x99s like to lift that cup \xe2\x80\x93 and I\xe2\x80\x99m happy for\xe2\x80\xa6 https://t.co/9LG5lxLQC7'
"b'\xe2\x80\x9cLow plastic stool, cheap but delicious noodles, cold Hanoi beer.\xe2\x80\x9d This is how I\xe2\x80\x99ll remember Tony. He taught us abo\xe2\x80\xa6 https://t.co/l79o6OyNAT'"
"b'This National Gun Violence Awareness Day, show your commitment to keeping our kids safe from gun violence. Then, fo\xe2\x80\xa6 https://t.co/Nr5qxK8sgu'"
"b'We can never truly repay the debt we owe our fallen heroes. But we can remember them, honor their sacrifice, and af\xe2\x80\xa6 https://t.co/iHLhFdhoZQ'"
b'This Center is for the leaders of tomorrow who are ready to step up and build the world as it should be. Michelle a\xe2\x80\xa6 https://t.co/XN7anzCTst'
"b'Happy Mother\xe2\x80\x99s Day to every mom out there, especially the remarkable moms in my life, @MichelleObama and my mother-\xe2\x80\xa6 https://t.co/QsZPuZ2OoJ'"
b'There are few issues more important to the security of the US than the potential spread of nuclear weapons or the p\xe2\x80\xa6 https://t.co/ym4YTPpbWl'
b'RT @MichelleObama: Happy #CollegeSigningDay! So excited to be in Philly to celebrate all the young people making the commitment to higher e\xe2\x80\xa6'
"b'These talented young people will create a better future not just in Africa, but around the world. I can\xe2\x80\x99t wait to s\xe2\x80\xa6 https://t.co/0YgQxnOrz9'"
b'Our statement on the passing of Former First Lady Barbara Bush: https://t.co/MhTVYCL9Nj'
b'RT @ObamaFoundation: We just announced the inaugural class of #ObamaFellows. These 20 civic leaders have carried out inspiring work around\xe2\x80\xa6'
"b'RT @ObamaFoundation: This week\xe2\x80\x9450 years since Dr. Martin Luther King, Jr. was killed\xe2\x80\x94@BarackObama and @RepJohnLewis sat down with a group o\xe2\x80\xa6'"
